ID,Count
18288,482.8704718419035
18289,385.3558990168505
18290,326.12978306837135
18291,269.4693884569823
18292,226.81319860188376
18293,203.03522594276512
18294,218.31800086369287
18295,253.19121662935763
18296,291.5654835840953
18297,376.76631019267984
18298,534.7769881230324
18299,592.8704110397528
18300,599.1517087613245
18301,529.902975683343
18302,566.5953651060755
18303,559.4388045872357
18304,545.1600075808218
18305,557.8598991490263
18306,571.5895116551935
18307,606.5142134677567
18308,582.8392129024337
18309,544.0187335412459
18310,545.9923653390075
18311,533.0865295832108
18312,367.50056180036
18313,293.28467495967044
18314,248.2091688901139
18315,205.08636874851993
18316,172.62181634751073
18317,154.52499987130932
18318,166.15633518134723
18319,192.6974619079014
18320,221.90315056960202
18321,286.747355113883
18322,407.0053048045252
18323,451.21874671859337
18324,455.9992843081205
18325,403.2958166203021
18326,431.2214706268836
18327,425.77479255357
18328,414.9075595631699
18329,424.5731273671314
18330,435.02238985790075
18331,461.60270131879554
18332,443.58425431127444
18333,414.0389646186241
18334,415.54104610167224
18335,405.71873936034945
18336,361.95156074036476
18337,288.8562818049528
18338,244.4613843029981
18339,201.98970823730593
18340,170.01534783710068
18341,152.19178061340932
18342,163.64749090766938
18343,189.7878652119208
18344,218.55256843254418
18345,282.41767090963907
18346,400.8598097970621
18347,444.4056597084261
18348,449.1140145289754
18349,397.2063322860349
18350,424.71032847820527
18351,419.34589142856305
18352,408.64274604414516
18353,418.16237054470906
18354,428.4538564912647
18355,454.6328238678159
18356,436.88644278872334
18357,407.7872662748372
18358,409.26666737965456
18359,399.5926705898926
18360,511.1702512192262
18361,407.94060352845145
18362,345.2433993431532
18363,285.2622867329643
18364,240.10612880698386
18365,214.93459116608813
18366,231.11304967869575
18367,268.03009369623425
18368,308.6533763848252
18369,398.847601298738
18370,566.1188730848984
18371,627.6170000530916
18372,634.2664282570382
18373,560.959207484022
18374,599.8020421835782
18375,592.2260543118688
18376,577.1104142416955
18377,590.5546133425705
18378,605.0888826408141
18379,642.0604301682213
18380,616.9978995470617
18381,575.9022531062783
18382,577.9915543179007
18383,564.3293411775525
18384,504.88159510496314
18385,402.921926943661
18386,340.99605316248284
18387,281.7528563243028
18388,237.15223062649977
18389,212.29036504440094
18390,228.26978857443288
18391,264.73266180635216
18392,304.856177823366
18393,393.94079109101574
18394,559.1542132594615
18395,619.8957614336974
18396,626.4633852540138
18397,554.0580242841341
18398,592.4229962181128
18399,584.9402117015229
18400,570.0105313230993
18401,583.2893335827548
18402,597.6447954850851
18403,634.1615016991384
18404,609.4073020813065
18405,568.8172335524673
18406,570.8808312009273
18407,557.3866970127373
18408,520.1504994489223
18409,415.1073114382324
18410,351.30864163448524
18411,290.27377975182185
18412,244.32431762570954
18413,218.710565955732
18414,235.1732479204489
18415,272.7388512357818
18416,314.0758044902527
18417,405.8545631806913
18418,576.064459698541
18419,638.6429868749203
18420,645.4092323539618
18421,570.8141489989572
18422,610.3393753218818
18423,602.630292358056
18424,587.2491004494158
18425,600.9294874835426
18426,615.7190950880043
18427,653.3401594318543
18428,627.8373298189097
18429,586.0197143172941
18430,588.1457204104355
18431,574.243489262242
18432,504.0951595304032
18433,402.2943102109638
18434,340.46489609597154
18435,281.3139802163289
18436,236.78282728013272
18437,211.95968811573903
18438,227.91422108282154
18439,264.320297432188
18440,304.3813145174164
18441,393.32716394479377
18442,558.283239214783
18443,618.9301725034671
18444,625.4875661766308
18445,553.1949883864266
18446,591.5002006083491
18447,584.0290717512203
18448,569.1226467892749
18449,582.380765144851
18450,596.7138660697984
18451,633.1736915476338
18452,608.4580506401767
18453,567.9312077748879
18454,569.9915910328491
18455,556.518476163399
18456,491.4516861371636
18457,392.2041569705671
18458,331.9255186119037
18459,274.25819767851436
18460,230.84395379544924
18461,206.64341672041917
18462,222.19778573183345
18463,257.6907423081311
18464,296.74696814701025
